Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:44:41,AARTIIND,538.9,66.04,64.12,1.92,2026-08-25 23:00,59.31,66.48,-7.17,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 66.04 > 50; Hourly RSI 59.31; 15m confirmation checked only while monitored
2026-08-25 23:44:42,ABB,7627.0,61.64,59.14,2.5,2026-08-25 23:00,68.44,52.25,16.19,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 61.64 > 50; Hourly RSI 68.44; 15m confirmation checked only while monitored
2026-08-25 23:44:43,ACMESOLAR,399.3,69.73,70.63,-0.89,2026-08-25 23:00,52.7,67.31,-14.61,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 69.73 > 50; Hourly RSI 52.70; 15m confirmation checked only while monitored
2026-08-25 23:44:44,ADANIENSOL,1594.5,62.39,59.53,2.85,2026-08-25 23:00,68.56,49.74,18.82,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 62.39 > 50; Hourly RSI 68.56; 15m confirmation checked only while monitored
2026-08-25 23:44:44,ADANIENT,3110.0,65.95,62.13,3.82,2026-08-25 23:00,76.34,52.15,24.19,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 65.95 > 50; Hourly RSI 76.34; 15m confirmation checked only while monitored
2026-08-25 23:44:45,ADANIPOWER,206.33,54.56,54.04,0.52,2026-08-25 23:00,62.43,47.83,14.6,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 54.56 > 50; Hourly RSI 62.43; 15m confirmation checked only while monitored
2026-08-25 23:45:33,AEGISLOG,1321.6,65.0,71.89,-6.9,2026-08-25 23:00,36.2,41.52,-5.31,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 65.00 > 50, but Hourly RSI has not touched 30 (current 36.20)"
2026-08-25 23:45:34,AFFLE,1710.8,62.71,63.48,-0.77,2026-08-25 23:00,47.41,64.54,-17.13,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 62.71 > 50, but Hourly RSI has not touched 30 (current 47.41)"
2026-08-25 23:45:35,AKUMS,744.85,71.64,72.76,-1.11,2026-08-25 23:00,41.6,63.24,-21.64,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.64 > 50, but Hourly RSI has not touched 30 (current 41.60)"
2026-08-25 23:45:36,ALIVUS,1354.3,73.5,73.32,0.18,2026-08-25 23:00,44.82,51.24,-6.43,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.50 > 50, but Hourly RSI has not touched 30 (current 44.82)"
